timestamp,iv_atm,iv_25d_put,iv_25d_call,skew_25d,butterfly_25d,term_spread
1609488000,,,,,,
1609574400,,,,,,
1609660800,,,,,,
1609747200,,,,,,
1609833600,,,,,,
1609920000,,,,,,
1610006400,,,,,,
1610092800,,,,,,
1610179200,,,,,,
1610265600,,,,,,
1610352000,,,,,,
1610438400,,,,,,
1610524800,,,,,,
1610611200,,,,,,
1610697600,,,,,,
1610784000,,,,,,
1610870400,,,,,,
1610956800,,,,,,
1611043200,,,,,,
1611129600,,,,,,
1611216000,,,,,,
1611302400,1.6076,1.6567,1.5928,0.0639,0.0172,0.0109
1611388800,1.4309,1.5172,1.4051,0.1121,0.0302,0.0489
1611475200,1.3807,1.4526,1.3591,0.0934,0.0252,0.0357
1611561600,1.3647,1.4573,1.3369,0.1204,0.0324,0.0244
1611648000,1.2542,1.3607,1.2223,0.1385,0.0373,0.0123
1611734400,1.2207,1.2841,1.2017,0.0824,0.0222,-0.0037
1611820800,1.2022,1.2759,1.1801,0.0958,0.0258,0.0188
1611907200,1.2271,1.3065,1.2033,0.1032,0.0278,0.0216
1611993600,1.2234,1.3214,1.194,0.1274,0.0343,0.0257
1612080000,0.9583,1.0347,0.9354,0.0993,0.0267,0.0309
1612166400,0.9533,1.026,0.9314,0.0946,0.0255,0.0601
1612252800,0.9712,1.0639,0.9434,0.1205,0.0325,0.0559
1612339200,0.905,0.9765,0.8836,0.093,0.025,0.0481
1612425600,0.9348,1.0154,0.9106,0.1047,0.0282,0.0548
1612512000,0.8867,0.9737,0.8606,0.1131,0.0305,0.0584
1612598400,0.852,0.9256,0.8299,0.0957,0.0258,0.0526
1612684800,0.8762,0.932,0.8595,0.0725,0.0195,0.0409
1612771200,1.1757,1.2488,1.1537,0.095,0.0256,0.032
1612857600,1.1434,1.1902,1.1294,0.0608,0.0164,0.0337
1612944000,1.1335,1.2026,1.1128,0.0898,0.0242,0.0317
1613030400,1.0408,1.0913,1.0256,0.0657,0.0177,0.0515
1613116800,1.0038,1.0525,0.9892,0.0634,0.0171,0.0519
1613203200,1.0375,1.0624,1.03,0.0324,0.0087,0.0628
